IntRate,MoneySupply,MinWages,GovDebt,Food,Housing,HouseItems,Clothing,Transport,Communication,Health,Personal,Education,INFLATION
1.39,30.066.738,180.00,638.367.60,1.31 ,0.68 ,1.14 ,0.89 ,0.35 ,0.04 ,0.45 ,0.60 ,0.31,0.71 
1.39,37.668.836,180.00,648.685.21,0.56 ,0.48 ,1.25 ,1.91 ,0.69 ,-0.05 ,0.99 ,0.17 ,0.12,0.65 
1.53,32.388.231,180.00,667.556.51,0.85 ,2.81 ,1.05 ,0.55 ,-1.50 ,0.43 ,0.30 ,0.57 ,0.41,0.52 
1.25,32.102.817,180.00,662.702.47,0.20 ,0.23 ,0.66 ,-0.67 ,-0.50 ,0.40 ,1.10 ,0.37 ,4.70,0.36 
1.37,32.547.930,180.00,659.375.87,0.39 ,0.93 ,-0.13 ,0.00 ,1.04 ,0.02 ,1.29 ,-0.25 ,0.65,0.60 
1.48,31.178.230,200.00,666.783.78,-0.32 ,1.40 ,-0.02 ,1.05 ,2.02 ,0.01 ,0.76 ,0.54 ,0.38,0.80 
1.41,32.930.327,200.00,689.710.63,-0.59 ,0.28 ,0.83 ,1.39 ,0.33 ,0.00 ,0.17 ,0.68 ,0.44,0.21 
1.33,33.899.629,200.00,729.391.55,0.08 ,1.09 ,0.06 ,1.39 ,0.32 ,0.22 ,0.23 ,0.29 ,0.18,0.42 
1.54,34.679.951,200.00,805.192.46,1.05 ,1.80 ,0.21 ,0.91 ,0.55 ,9.31 ,0.53 ,1.02 ,0.12,1.19 
1.44,36.396.984,200.00,757.627.40,1.94 ,0.43 ,0.66 ,0.21 ,-0.15 ,0.47 ,0.50 ,0.53 ,0.29,0.65 
1.38,37.819.862,200.00,859.038.50,1.96 ,-0.39 ,1.73 ,0.55 ,0.34 ,0.11 ,0.64 ,0.61 ,0.40,0.72 
1.65,39.188.893,200.00,837.604.54,2.79 ,0.30 ,2.27 ,1.22 ,1.20 ,0.06 ,0.63 ,1.12 ,0.13,1.31 
1.54,41.071.902,200.00,851.603.55,5.85 ,2.02 ,2.88 ,0.97 ,4.68 ,0.03 ,0.88 ,0.41 ,0.24,3.02 
1.74,49.931.066,200.00,859.712.10,3.91 ,1.42 ,2.12 ,0.93 ,1.33 ,0.03 ,2.74 ,2.19 ,0.27,2.10 
1.97,43.639.339,200.00,877.925.86,2.15 ,1.76 ,1.90 ,0.94 ,4.20 ,0.32 ,1.44 ,1.94 ,1.23,2.25 
1.83,43.663.530,200.00,892.342.11,1.22 ,0.18 ,1.57 ,0.11 ,3.00 ,3.24 ,0.67 ,0.64 ,5.64,1.57 
1.78,39.909.573,200.00,879.741.25,1.66 ,1.09 ,1.19 ,0.60 ,0.70 ,1.58 ,2.39 ,0.72 ,0.92,1.23 
1.87,39.047.731,240.00,834.738.56,1.01 ,1.95 ,0.82 ,1.03 ,0.50 ,0.14 ,1.54 ,0.35 ,0.43,0.97 
